LeadID,DateAdded,LeadSourceGroup,LoanOfficer,Group,ZipCode,LoanNumber,ApprovalDate,BranchCode,LoanPurpose,LoanType,TotalLoanAmount,CreditScore,CLTV,DTI,BorrowerAge,BorrowerYearsInSchool,BorrowerTotalMonthlyIncome,BorrowerOwnRent,BorrowerCity,BorrowerState,IsCoBorrowerower,CoBorrowerYearsInSchool,CoBorrowerAge,CoBorrowerTotalMonthlyIncome
13067,5/1/2013 18:54,,"Narmour, Derrick",Refinance Team - 4103,75078,41032026021,,4103,Refinance                                         ,Conventional                                      ,206500,705,60.2,33,36,18,6083,,Prosper,TX,TRUE,0,0,0
14396,5/7/2013 16:53,TV,"Johnson, Adrienne",Refinance Team - 4103,76064,4103198104,7/21/2019,4103,Refinance Cash-out                                ,Conventional                                      ,100000,781,54.05,33,52,16,8883.71,Own,Maypearl,TX,TRUE,12,55,0
14855,5/9/2013 12:53,,"Frank, Michael",Refinance Team - 4103,76017,4102192789,3/26/2019,4102,Refinance Cash-out                                ,Conventional                                      ,260000,649,80,35,60,12,17538.3,Own,Arlington,TX,TRUE,0,0,0
26269,7/1/2013 17:25,TV,"Benitez, Bryan",Refinance Team - 4102,75238,4102193097,4/5/2019,4102,Refinance Cash-out                                ,Conventional                                      ,440000,792,72.96,33,54,16,13299.09,Own,Dallas,TX,TRUE,0,0,0
37010,8/30/2013 9:58,TV,"Nguyen, Tu",Refinance Team - 4102,77450,4102190764,2/1/2019,4102,Refinance Cash-out                                ,Conventional                                      ,163000,689,72.44,41,49,16,6254.91,Own,Katy,TX,TRUE,0,0,0
48985,11/11/2013 14:03,Self Sourced,"Todd, Michael",Refinance Team - 4101,75067,4101201026,4/23/2020,4101,Refinance                                         ,Conventional                                      ,203490,795,77.66,39,34,13,8054,Own,Garland,TX,TRUE,0,0,0
49840,11/15/2013 16:51,Internet,"Knight, Ken",Purchase Team - 4105,76012,4105190861,2/15/2019,4105,Purchase                                          ,Conventional                                      ,140000,813,80,26,36,14,5323.07,Living Rent Free,Grand Prairie,TX,TRUE,0,0,0
50339,11/19/2013 15:30,Internet,"Sharpe, Jenny",Admin,77459,4105192499,,4105,Purchase                                          ,FHA                                               ,251100,655,90,35,60,16,5956.27,Rent,Missouri City,TX,TRUE,0,0,0
50960,11/24/2013 18:30,Radio,"Sharp, James",Admin,75189,4104191977,3/5/2019,4104,Refinance Cash-out                                ,Conventional                                      ,125000,521,49.01,47,39,12,3829.25,Own,Royse City,TX,TRUE,0,0,0
61119,2/22/2014 11:20,Referral,"Sharp, James",Admin,75070,41051811994,4/25/2019,4108,Purchase                                          ,FHA                                               ,302421,624,96.5,45,42,16,11444.98,Rent,Mckinney,TX,TRUE,0,0,0
63356,3/11/2014 13:04,Internet,"Ancell, Susan",Purchase Team - 4105,76063,4105191189,3/28/2019,4105,Purchase                                          ,FHA                                               ,267073,644,96.5,35,45,16,3308.93,Rent,Mansfield,TX,TRUE,16,45,4903.67
73911,5/28/2014 11:51,Internet,"Sharpe, Jenny",Admin,76067,4102193763,,4102,Refinance Cash-out                                ,Conventional                                      ,176000,713,80,42,37,12,8318.68,Own,Mineral Wells,TX,TRUE,0,0,0
74002,5/28/2014 16:46,Radio,"Vander Plaats, Brian",Refinance Team - 4102,75019,4102193562,,4102,Refinance Cash-out                                ,Conventional                                      ,395000,812,79.79,35,55,16,9166,Own,Coppell,TX,TRUE,0,0,0
76305,6/13/2014 15:49,TV,"Johnson, Chris",Refinance Team - 4102,,4103199706,8/28/2019,4103,Refinance Cash-out                                ,Conventional                                      ,87425,754,72.85,29,61,16,5174.23,Own,Terrell,TX,TRUE,16,61,1581.9
85941,8/23/2014 14:57,Radio,"Alexander, Gary",Refinance Team - 4102,75234,41022017044,10/16/2020,4102,Refinance Cash-out                                ,Conventional                                      ,130000,758,39.39,36,80,16,3754.52,Own,Farmers Branch,TX,TRUE,0,0,0
86626,8/28/2014 11:48,Internet,"Nguyen, Tu",Refinance Team - 4102,,41022011729,,4102,Refinance Cash-out                                ,Conventional                                      ,280000,763,70,41,41,16,16666.66,Own,Cedar Park,TX,TRUE,0,0,0
581,1/15/2013 9:51,TV,"Sharpe, Jenny",Admin,77502,4105190312,,4105,Refinance Cash-out                                ,Conventional                                      ,206000,792,54.21,36,52,14,5688.68,Own,Pasadena,TX,TRUE,0,0,0
1242,1/22/2013 12:35,Radio,"Sharp, James",Admin,75402,4102192041,3/6/2019,4102,Refinance Cash-out                                ,Conventional                                      ,100000,651,68.96,20,49,15,0,Own,Greenville,TX,TRUE,16,46,4833.33
1454,1/23/2013 15:52,Repeat Client,"Nguyen, Tu",Refinance Team - 4102,,4102194851,5/14/2019,4102,Refinance Cash-out                                ,Conventional                                      ,270000,774,58.69,38,58,16,12500,Own,Plano,TX,TRUE,0,0,0
3030,2/8/2013 11:17,Radio,"Frank, Michael",Refinance Team - 4103,,4102193618,4/18/2019,4103,Refinance Cash-out                                ,Conventional                                      ,171500,665,70,37,63,12,2538.14,Own,Grand Prairie,TX,TRUE,12,56,7898.47
17297,5/21/2013 12:30,Repeat Client,"Johnson, Adrienne",Refinance Team - 4103,75022,4103207170,5/6/2020,4103,Refinance Cash-out                                ,Conventional                                      ,184000,741,51.83,30,46,16,8044.61,Own,Flower Mound,TX,TRUE,0,0,0
31338,7/29/2013 14:21,TV,"Reed, Shawn",Purchase Team - 4105,76067,4105194059,12/30/2019,4105,Purchase                                          ,FHA                                               ,242293,646,96.49,52,31,16,8313.87,Own,Mineral Wells,TX,TRUE,0,0,0
41856,9/27/2013 17:30,,"Weber, Dee",Refinance Team - 4101,75078,41012023866,12/21/2020,4101,Refinance Cash-out                                ,Conventional                                      ,375000,713,60.48,34,58,18,0,Own,Prosper,TX,TRUE,18,58,23815.2
42989,10/4/2013 16:30,Repeat Client,"Sharpe, Jenny",Admin,,4102190095,1/14/2019,4102,Refinance                                         ,Conventional                                      ,317175,713,87.98,30,59,16,16777.98,Own,Grand Prairie,TX,TRUE,16,53,15417.74
43442,10/8/2013 9:37,Radio,"Swaney, Daniel",Purchase Team - 4105,75104,41051913052,11/18/2019,4105,Purchase                                          ,Conventional                                      ,156000,690,80,39,65,14,6683.73,Own,Cedar Hill,TX,TRUE,16,54,5654.66
57421,1/24/2014 12:40,TV,"Cobb, William",Purchase Team - 4105,75052,41051910192,10/5/2019,4105,Refinance Cash-out                                ,Conventional                                      ,150000,684,73.17,34,49,14,2039,Own,Grand Prairie,TX,TRUE,16,58,8215
58551,2/1/2014 11:06,Internet,"Benitez, Bryan",Refinance Team - 4102,,41022018233,12/7/2020,4102,Refinance                                         ,Conventional                                      ,322800,763,56.13,43,50,16,11960,Own,Frisco,TX,TRUE,16,42,0
60148,2/14/2014 9:26,Direct Mail,"Nguyen, Tu",Refinance Team - 4102,76636,4102194172,4/30/2019,4102,Refinance                                         ,Conventional                                      ,208000,713,80,43,42,16,5300.53,Own,Covington,TX,TRUE,16,31,3368
67427,4/10/2014 7:32,Radio,"Benitez, Bryan",Refinance Team - 4102,76227,4102190086,1/8/2019,4102,Refinance Cash-out                                ,Conventional                                      ,192000,715,79.01,46,48,16,5040.67,Own,Aubrey,TX,TRUE,0,0,0
69659,4/28/2014 10:33,TV,"Sharp, James",Admin,75115,4102197659,7/18/2019,4102,Refinance                                         ,Conventional                                      ,163350,773,90,48,37,6,5085.65,Own,Desoto,TX,TRUE,0,0,0
90602,9/25/2014 9:52,Internet,"Knight, Ken",Purchase Team - 4105,75243,4108197521,8/2/2019,4108,Purchase                                          ,Conventional                                      ,456000,758,95,49,50,18,14642.1,Own,Dallas,TX,TRUE,0,0,0
90816,9/26/2014 15:37,,"Ancell, Susan",Purchase Team - 4105,75248,41051913245,11/22/2019,4105,Refinance Cash-out                                ,Conventional                                      ,250000,718,61.72,20,36,16,4604.67,Own,Dallas,TX,TRUE,16,46,8333.33
6676,3/19/2013 12:05,Radio,"Sharp, James",Admin,75002,4111191771,2/27/2019,4111,Refinance Cash-out                                ,Conventional                                      ,102000,817,39.84,43,47,12,2531.33,Own,Allen,TX,TRUE,0,0,0
9535,4/15/2013 13:28,Internet,"Sharp, James",Admin,76005,4105193693,8/14/2019,4108,Purchase                                          ,FHA                                               ,296082,621,89.26,20,51,18,10630.83,Rent,Lancaster,TX,TRUE,0,0,0
19233,5/30/2013 15:13,TV,"Swaney, Daniel",Purchase Team - 4105,75244,4105193749,2/3/2020,4105,Purchase                                          ,Conventional                                      ,313099,819,61.02,42,52,16,6176.12,Living Rent Free,Dallas,TX,TRUE,0,0,0
19930,6/3/2013 15:45,Self Sourced,"Ancell, Susan",Purchase Team - 4105,75252,4105196963,7/2/2019,4105,Purchase                                          ,Conventional                                      ,244000,745,93.12,36,63,20,10693.55,Rent,Carrollton,TX,TRUE,16,64,0
20244,6/4/2013 16:12,Radio,"Knight, Ken",Purchase Team - 4105,75229,4105204955,3/28/2020,4105,Refinance Cash-out                                ,Conventional                                      ,510400,769,70.88,36,45,16,11217,Own,Dallas,TX,TRUE,16,43,6102
27191,7/8/2013 12:19,Referral,"Boldt, Bob",Refinance Team - 4101,,4105196530,,4101,Refinance Cash-out                                ,Conventional                                      ,197000,747,69.85,22,27,16,9166.67,Own,Dallas,TX,TRUE,16,27,2916.67
39183,9/12/2013 5:16,,"Vander Plaats, Brian",Refinance Team - 4102,76084,4102203343,3/16/2020,4102,Refinance                                         ,Conventional                                      ,402015,696,71.91,40,38,16,5808,Own,Midlothian,TX,TRUE,16,36,6066.98
39384,9/13/2013 9:39,Repeat Client,"Knight, Ken",Purchase Team - 4105,76244,41052016498,10/19/2020,4105,Refinance                                         ,Conventional                                      ,195570,799,64.12,29,43,18,10416.67,Own,Fort Worth,TX,TRUE,14,45,0
51728,12/2/2013 14:21,Internet,"Nguyen, Tu",Refinance Team - 4102,,4102198630,,4102,Refinance Cash-out                                ,Conventional                                      ,132000,740,80,31,55,16,9660,Own,Houston,TX,TRUE,0,0,0
53824,12/26/2013 21:24,Repeat Client,"Sharpe, Jenny",Admin,,4103202481,3/9/2020,4103,Refinance Cash-out                                ,Conventional                                      ,252000,743,66.84,32,59,16,13333.33,Own,Grapevine,TX,TRUE,0,0,0
70792,5/5/2014 15:56,Internet,"Frank, Michael",Refinance Team - 4103,75078,4103197557,7/9/2019,4103,Refinance Cash-out                                ,Conventional                                      ,318400,802,80,39,45,12,7411.4,Own,Prosper,TX,TRUE,12,45,1903.63
73185,5/21/2014 12:34,Repeat Client,"Swaney, Daniel",Purchase Team - 4105,76262,41051910436,9/4/2019,4105,Refinance Cash-out                                ,Conventional                                      ,312800,722,80,40,72,16,2651.6,Own,Roanoke,TX,TRUE,16,73,4573.1
83137,8/4/2014 13:31,Internet,"Sharpe, Jenny",Admin,,4102193590,,4102,Refinance Cash-out                                ,Conventional                                      ,172000,701,80,45,36,16,5571.52,Own,Burleson,TX,TRUE,0,0,0
91662,10/2/2014 10:47,Internet,"Sharpe, Jenny",Admin,75154,41021811855,2/11/2019,4105,Purchase                                          ,FHA                                               ,270019,655,96.5,57,35,12,6022.08,Own,Red Oak,TX,TRUE,0,0,0
93025,10/12/2014 19:49,Internet,"Sharp, James",Admin,77055,4102193000,4/8/2019,4102,Refinance                                         ,Conventional                                      ,338200,761,37.78,43,61,16,6351.67,Own,Houston,TX,TRUE,16,64,3994.25
94382,10/21/2014 14:39,Repeat Client,"Reynolds, Gavin",Refinance Team - 4101,75160,41012019752,,4101,Refinance                                         ,Conventional                                      ,253000,722,68.56,20,58,16,1609.41,Own,Terrell,TX,TRUE,16,49,8915.75
11926,4/26/2013 9:13,,"Sharpe, Jenny",Admin,75032,4102193036,4/8/2019,4103,Refinance Cash-out                                ,Conventional                                      ,190000,804,35.84,32,75,18,8866.82,Own,Rockwall,TX,TRUE,12,74,0
21592,6/11/2013 11:15,Internet,"Alexander, Gary",Refinance Team - 4102,75077,4105191931,3/11/2019,4102,Refinance Cash-out                                ,Conventional                                      ,185000,714,62.92,22,57,16,7591.66,Own,Lewisville,TX,TRUE,0,0,0
22840,6/17/2013 11:53,Self Sourced,"Johnson, Adrienne",Refinance Team - 4103,,4102190397,2/4/2019,4102,Purchase                                          ,Conventional                                      ,239920,659,80,49,29,12,3629.59,Rent,Anna,TX,TRUE,16,25,3824.06
22947,6/17/2013 15:15,Radio,"Corcoran, Karla",Refinance Team - 4103,76247,4102190677,1/26/2019,4102,Refinance Cash-out                                ,Conventional                                      ,204800,739,80,37,52,16,6833.32,Own,Justin,TX,TRUE,14,51,2750
35771,8/23/2013 11:44,Radio,"Milburn, Joe",Purchase Team - 4105,76241,4105194321,4/25/2019,4108,Refinance Cash-out                                ,Conventional                                      ,260000,755,80,39,45,16,7531.42,Own,Gainesville,TX,TRUE,0,0,0
55120,1/8/2014 7:00,Internet,"Sharpe, Jenny",Admin,77082,4102193478,,4102,Refinance Cash-out                                ,Conventional                                      ,140000,758,80,33,41,14,9290,Own,Houston,TX,TRUE,0,0,0
56360,1/16/2014 11:46,Internet,"Sharpe, Jenny",Admin,78640,4102195003,5/9/2019,4102,Refinance Cash-out                                ,Conventional                                      ,80000,638,60.83,44,57,14,2803,Own,Kyle,TX,TRUE,0,0,0
65374,3/26/2014 15:31,Internet,"Bennett, Eric",Refinance Team - 4101,78753,4101207254,6/4/2020,4101,Refinance                                         ,Conventional                                      ,150320,632,50.1,45,55,12,2497.01,Own,Austin,TX,TRUE,0,0,0
65815,3/29/2014 12:58,Repeat Client,"Sharpe, Jenny",Admin,,4105194944,,4105,Purchase                                          ,Conventional                                      ,261250,777,95,35,65,16,9560.17,Own,Duncanville,TX,TRUE,16,66,4000
65995,3/31/2014 13:24,Internet,"Johnson, Adrienne",Refinance Team - 4103,76028,4102194923,5/8/2019,4103,Refinance Cash-out                                ,Conventional                                      ,344000,751,80,48,47,12,7887.67,Own,Burleson,TX,TRUE,0,0,0
66434,4/2/2014 21:50,Radio,"Narmour, Derrick",Refinance Team - 4103,75173,41032022319,,4103,Refinance Cash-out                                ,Conventional                                      ,190000,672,69.59,52,60,18,2400.11,Own,Nevada,TX,TRUE,14,59,2193.14
