LeadSourceGroup,ZipCode,LoanPurpose,LoanType,TotalLoanAmount,CreditScore,CLTV,DTI,BorrowerAge,BorrowerOwnRent,Approved,TotalIncome,Education
Radio,77,Refinance,Conventional                                      ,164000.0,675,80.0,44.0,41,Own,1,9695.07,UnderGrad
Radio,76,Refinance,Conventional                                      ,158000.0,735,64.75,34.0,45,Own,1,8166.67,UnderGrad
Internet,76,Refinance,Conventional                                      ,99000.0,709,60.0,45.0,56,Own,1,4045.65,Higher School
Other,76,Refinance,Conventional                                      ,283500.0,717,88.59,46.0,44,Own,1,7598.0599999999995,UnderGrad
Radio,76,Refinance,FHA                                               ,238451.0,664,96.49,27.0,30,Rent,0,6019.38,Higher School
Radio,76,Refinance,Conventional                                      ,217959.0,654,73.88,34.0,39,Own,0,7082.83,UnderGrad
Internet,77,Refinance,Conventional                                      ,312452.0,731,79.7,47.0,57,Own,1,13226.18,UnderGrad
Repeat Client,75,Refinance,FHA                                               ,400386.0,669,93.69,53.0,35,Own,1,11225.02,UnderGrad
Internet,77,Refinance,Conventional                                      ,252000.0,718,80.0,44.0,47,Own,0,7150.0,PHD
Internet,75,Refinance,Conventional                                      ,284190.0,767,76.8,25.0,45,Own,1,13333.33,UnderGrad
Repeat Client,Other,Refinance,Conventional                                      ,296000.0,783,80.0,37.0,53,Own,1,16072.08,UnderGrad
TV,77,Refinance,Conventional                                      ,114600.0,627,69.45,27.0,40,Own,1,17844.13,UnderGrad
Internet,76,Refinance,Conventional                                      ,260000.0,685,80.0,40.0,48,Own,1,7800.0,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,256000.0,752,67.36,28.0,57,Own,1,10715.05,UnderGrad
Internet,76,Refinance,Conventional                                      ,178000.0,787,48.76,44.0,73,Own,0,4058.0,UnderGrad
TV,77,Refinance,Conventional                                      ,193600.0,779,80.0,26.0,48,Own,1,14300.0,UnderGrad
TV,75,Refinance,Conventional                                      ,160000.0,709,37.64,47.0,63,Own,0,7630.0,UnderGrad
Internet,75,Refinance,VA                                                ,217500.0,813,100.0,38.0,63,Rent,1,4250.0,UnderGrad
TV,76,Refinance,Conventional                                      ,383200.0,779,80.0,18.0,51,Own,1,18626.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,252200.0,753,97.0,45.0,26,Rent,1,6000.0,UnderGrad
Other,75,Refinance,Conventional                                      ,133000.0,782,95.0,45.0,84,Own,1,2584.32,UnderGrad
Internet,75,Refinance,Conventional                                      ,123750.0,583,75.0,48.0,80,Own,1,3016.38,UnderGrad
Internet,76,Refinance,Conventional                                      ,256000.0,823,39.38,13.0,64,Own,1,21199.63,UnderGrad
Internet,75,Refinance,Conventional                                      ,344000.0,697,80.0,21.0,52,Own,0,24187.35,UnderGrad
Internet,76,Refinance,Conventional                                      ,174000.0,681,74.04,18.0,62,Own,1,9153.17,UnderGrad
Repeat Client,Other,Refinance,Conventional                                      ,304000.0,737,80.0,25.0,56,Own,1,11750.0,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,260000.0,822,75.36,18.0,55,Own,1,16267.33,PostGrad
Internet,75,Refinance,Conventional                                      ,225000.0,801,67.97,20.0,47,Own,1,14591.67,PostGrad
Radio,75,Refinance,VA                                                ,326400.0,639,88.21,35.0,37,Own,0,9443.0,UnderGrad
TV,77,Refinance,Conventional                                      ,140000.0,726,62.22,38.0,48,Own,1,8758.6,PostGrad
TV,77,Refinance,Conventional                                      ,120000.0,767,55.81,36.0,55,Own,0,4258.25,UnderGrad
Internet,75,Refinance,Conventional                                      ,154700.0,755,30.94,13.0,64,Own,0,25000.0,UnderGrad
Other,75,Refinance,Conventional                                      ,144778.0,817,46.55,21.0,56,Own,1,9972.3,UnderGrad
TV,Other,Refinance,Conventional                                      ,82000.0,743,67.21,37.0,68,Own,0,2093.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,285910.0,707,84.58,47.0,36,Own,1,7500.01,UnderGrad
Radio,78,Refinance,Conventional                                      ,366000.0,741,75.3,26.0,52,Own,1,13094.3,PostGrad
Internet,75,Refinance,Conventional                                      ,220000.0,725,80.0,30.0,65,Own,1,10440.75,UnderGrad
TV,Other,Refinance,Conventional                                      ,372714.0,678,82.27,42.0,40,Own,1,17670.1,UnderGrad
Radio,75,Refinance,Conventional                                      ,174000.0,770,74.04,25.0,27,Own,0,7000.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,355000.0,791,70.43,31.0,53,Own,1,12707.39,UnderGrad
Internet,75,Refinance,Conventional                                      ,164000.0,705,80.0,46.0,34,Own,1,4138.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,259000.0,801,64.75,21.0,34,Own,0,12916.66,PostGrad
Internet,78,Refinance,Conventional                                      ,368000.0,733,76.66,30.0,32,Own,1,11833.34,UnderGrad
Internet,76,Refinance,Conventional                                      ,100000.0,644,38.46,14.0,51,Own,1,16643.5,UnderGrad
Internet,77,Refinance,Conventional                                      ,185000.0,766,74.0,34.0,81,Own,1,4038.96,UnderGrad
Internet,76,Refinance,Conventional                                      ,213500.0,725,70.93,28.0,39,Own,1,8142.360000000001,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,194400.0,702,80.0,44.0,54,Own,1,11613.85,UnderGrad
Internet,77,Refinance,Conventional                                      ,315750.0,642,65.78,34.0,40,Own,0,13315.8,UnderGrad
Internet,79,Refinance,Conventional                                      ,248800.0,764,80.0,20.0,59,Own,0,14279.74,UnderGrad
Radio,76,Refinance,Conventional                                      ,261000.0,696,69.6,26.0,62,Own,0,12333.33,UnderGrad
Internet,75,Refinance,Conventional                                      ,238630.0,773,66.28,19.0,61,Own,1,12754.57,UnderGrad
Internet,75,Refinance,Conventional                                      ,500000.0,784,55.55,30.0,71,Own,0,24916.0,Higher School
Other,76,Refinance,Conventional                                      ,135000.0,646,75.0,39.0,29,Own,1,5474.09,UnderGrad
Internet,75,Refinance,Conventional                                      ,114722.0,721,34.34,48.0,61,Own,1,2928.0,Higher School
TV,76,Refinance,Conventional                                      ,192500.0,628,65.92,44.0,63,Own,1,6213.62,UnderGrad
TV,75,Refinance,Conventional                                      ,345000.0,678,82.14,45.0,37,Own,0,13957.53,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,112000.0,732,70.0,36.0,44,Own,1,6020.84,UnderGrad
Internet,77,Refinance,Conventional                                      ,92200.0,669,46.56,38.0,63,Own,1,2067.5,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,139500.0,774,66.11,35.0,61,Own,1,4766.67,Higher School
Internet,76,Refinance,Conventional                                      ,285000.0,668,75.0,44.0,35,Own,1,7803.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,303700.0,812,69.02,22.0,67,Own,1,12329.11,PostGrad
Internet,75,Refinance,Conventional                                      ,274600.0,790,82.71,29.0,45,Own,1,9988.21,UnderGrad
Radio,76,Refinance,FHA                                               ,278856.0,647,96.5,45.0,38,Own,1,12474.060000000001,PostGrad
TV,76,Refinance,Conventional                                      ,304814.0,753,48.77,31.0,46,Own,0,18380.92,PostGrad
Internet,75,Refinance,Conventional                                      ,331535.0,807,67.66,32.0,33,Own,1,8994.31,UnderGrad
Internet,77,Refinance,Conventional                                      ,216000.0,812,67.5,44.0,91,Own,1,3502.35,UnderGrad
Radio,77,Refinance,Conventional                                      ,394250.0,694,95.0,45.0,54,Own,1,10888.44,PostGrad
Radio,75,Refinance,Conventional                                      ,139572.0,804,63.73,17.0,38,Own,1,17916.67,UnderGrad
Internet,75,Refinance,Conventional                                      ,100000.0,677,44.44,43.0,72,Own,1,4595.66,UnderGrad
Radio,76,Refinance,Conventional                                      ,171756.0,758,79.88,41.0,28,Own,1,5377.14,UnderGrad
TV,76,Refinance,Conventional                                      ,412000.0,650,75.59,44.0,57,Own,1,15638.84,UnderGrad
Internet,78,Refinance,Conventional                                      ,272120.0,790,61.01,35.0,44,Own,1,12500.0,UnderGrad
TV,76,Refinance,Conventional                                      ,174000.0,632,58.98,23.0,53,Own,1,12519.1,UnderGrad
Internet,75,Refinance,Conventional                                      ,264900.0,787,59.52,28.0,46,Own,1,9463.76,UnderGrad
Internet,75,Refinance,Conventional                                      ,180000.0,725,75.0,42.0,36,Own,1,8702.0,UnderGrad
Other,75,Refinance,Conventional                                      ,98000.0,736,37.69,35.0,49,Own,0,5548.57,UnderGrad
Internet,75,Refinance,Conventional                                      ,245500.0,737,44.63,39.0,44,Own,0,10416.67,Higher School
Internet,75,Refinance,VA                                                ,316000.0,803,97.23,,68,Own,1,0.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,140000.0,797,80.0,21.0,65,Own,1,6750.1,UnderGrad
Internet,76,Refinance,Conventional                                      ,132000.0,633,66.0,31.0,41,Own,1,6250.0,UnderGrad
Internet,Other,Refinance,Conventional                                      ,320000.0,771,80.0,22.0,49,Own,0,11423.99,PostGrad
Internet,77,Refinance,Conventional                                      ,200000.0,737,59.7,37.0,46,Own,0,5800.0,UnderGrad
Radio,76,Refinance,FHA                                               ,265375.0,755,96.5,51.0,56,Own,1,4862.75,UnderGrad
Internet,76,Refinance,Conventional                                      ,80000.0,691,45.71,38.0,83,Own,1,4336.12,Higher School
Internet,76,Refinance,Conventional                                      ,470000.0,634,74.41,25.0,48,Own,0,20000.0,UnderGrad
Internet,78,Refinance,Conventional                                      ,301410.0,812,90.0,39.0,50,Own,1,15728.27,PostGrad
Internet,76,Refinance,Conventional                                      ,101000.0,702,58.72,41.0,67,Own,0,8528.0,UnderGrad
Other,Other,Refinance,Conventional                                      ,312552.0,747,83.34,29.0,29,Rent,1,14166.66,PostGrad
Internet,75,Refinance,Conventional                                      ,340000.0,747,87.17,43.0,61,Own,0,13541.0,UnderGrad
Other,75,Refinance,Conventional                                      ,309000.0,814,60.58,30.0,64,Own,1,10416.66,PHD
TV,77,Refinance,Conventional                                      ,349150.0,685,73.5,30.0,52,Own,1,17937.6,UnderGrad
Radio,75,Refinance,Conventional                                      ,110500.0,690,85.0,48.0,61,Own,1,7500.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,336800.0,696,80.0,46.0,57,Rent,1,12302.34,Higher School
Internet,78,Refinance,Conventional                                      ,161400.0,745,63.54,38.0,39,Own,1,6601.34,UnderGrad
Radio,75,Refinance,Conventional                                      ,324000.0,683,70.43,33.0,41,Own,1,10433.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,216700.0,677,62.99,36.0,61,Own,1,8916.68,UnderGrad
Internet,77,Refinance,Conventional                                      ,220000.0,785,80.0,33.0,42,Own,1,9464.71,PHD
Radio,77,Refinance,Conventional                                      ,380000.0,641,80.0,43.0,58,Own,0,16912.03,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,293165.0,756,51.7,24.0,44,Own,1,17763.5,UnderGrad
Repeat Client,76,Refinance,FHA                                               ,325986.0,668,96.5,42.0,36,Own,1,12951.7,UnderGrad
Radio,75,Refinance,FHA                                               ,158679.0,790,69.31,43.0,48,Own,0,7016.66,Higher School
Internet,75,Refinance,Conventional                                      ,135000.0,671,72.97,28.0,58,Own,0,6713.2,UnderGrad
TV,75,Refinance,Conventional                                      ,133000.0,708,44.33,34.0,45,Own,0,8797.61,Higher School
Internet,75,Refinance,Conventional                                      ,252000.0,767,80.0,49.0,43,Own,1,8441.44,UnderGrad
Radio,76,Refinance,Conventional                                      ,115000.0,714,35.93,43.0,51,Own,1,5869.5,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,311850.0,805,86.62,31.0,37,Own,1,9781.0,UnderGrad
TV,77,Refinance,Conventional                                      ,275000.0,768,68.75,24.0,54,Own,0,15276.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,172500.0,714,75.0,25.0,41,Own,1,12754.66,UnderGrad
Internet,75,Refinance,Conventional                                      ,188737.0,811,70.95,20.0,60,Own,1,11151.3,Higher School
Other,75,Refinance,Conventional                                      ,377800.0,740,88.89,40.0,35,Own,1,10640.81,Higher School
TV,76,Refinance,Conventional                                      ,183000.0,743,67.27,31.0,55,Own,1,10012.0,PostGrad
Internet,77,Refinance,Conventional                                      ,213400.0,791,74.61,19.0,58,Own,0,10833.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,410400.0,698,90.0,40.0,44,Rent,1,13333.33,PostGrad
Internet,75,Refinance,Conventional                                      ,194500.0,808,77.8,28.0,71,Own,1,5379.4,UnderGrad
Other,76,Refinance,Conventional                                      ,219900.0,763,77.18,27.0,54,Own,1,13444.21,PostGrad
Repeat Client,75,Refinance,Conventional                                      ,130400.0,734,80.0,41.0,54,Own,1,13876.67,UnderGrad
Radio,75,Refinance,Conventional                                      ,215600.0,696,45.87,32.0,63,Own,1,8827.59,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,248000.0,729,80.0,30.0,44,Own,1,9748.39,UnderGrad
Internet,75,Refinance,FHA                                               ,190542.0,711,86.69,,32,Own,1,0.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,179011.0,811,70.47,30.0,37,Own,1,5149.73,UnderGrad
TV,75,Refinance,Conventional                                      ,70000.0,624,28.0,34.0,49,Own,1,6444.61,Higher School
Internet,76,Refinance,Conventional                                      ,155700.0,672,67.69,42.0,44,Own,0,5166.66,UnderGrad
Other,76,Refinance,Conventional                                      ,310000.0,724,68.88,36.0,48,Own,1,10671.25,UnderGrad
TV,75,Refinance,Conventional                                      ,180600.0,649,60.0,56.0,48,Own,0,4443.97,Higher School
Internet,76,Refinance,Conventional                                      ,168800.0,660,80.0,44.0,56,Own,1,5758.31,Higher School
Internet,77,Refinance,Conventional                                      ,92000.0,567,80.0,36.0,49,Own,1,5628.83,UnderGrad
Internet,75,Refinance,Conventional                                      ,271200.0,728,80.0,41.0,58,Own,1,9992.25,UnderGrad
Internet,75,Refinance,Conventional                                      ,292000.0,767,80.0,32.0,58,Own,0,8019.61,PostGrad
Internet,77,Refinance,Conventional                                      ,216000.0,769,80.0,30.0,36,Own,1,11205.36,PostGrad
Internet,75,Refinance,Conventional                                      ,358885.0,800,39.87,28.0,66,Own,1,25679.5,UnderGrad
TV,76,Refinance,Conventional                                      ,418000.0,783,95.0,16.0,33,Own,0,21000.0,UnderGrad
Radio,75,Refinance,Conventional                                      ,180500.0,680,59.18,40.0,54,Own,1,6843.09,Higher School
Internet,75,Refinance,Conventional                                      ,100000.0,705,42.55,40.0,45,Own,1,8445.03,UnderGrad
Radio,76,Refinance,Conventional                                      ,245558.0,812,79.79,29.0,35,Own,1,8398.78,UnderGrad
Radio,76,Refinance,Conventional                                      ,150500.0,762,52.8,34.0,51,Own,0,7521.12,UnderGrad
Radio,76,Refinance,VA                                                ,260892.0,772,97.96,,39,Own,0,0.0,Higher School
Radio,75,Refinance,Conventional                                      ,70000.0,667,77.77,22.0,40,Own,0,9833.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,185800.0,751,79.06,49.0,36,Own,1,6867.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,503250.0,788,72.93,38.0,38,Own,1,12415.96,UnderGrad
Internet,75,Refinance,Conventional                                      ,81000.0,661,62.3,38.0,48,Own,1,5191.33,UnderGrad
Internet,76,Refinance,Conventional                                      ,75000.0,709,65.78,41.0,72,Own,0,6738.25,Higher School
TV,75,Refinance,Conventional                                      ,107000.0,719,76.42,46.0,68,Own,0,6400.0,Higher School
TV,76,Refinance,Conventional                                      ,275000.0,705,52.88,41.0,66,Own,1,15519.0,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,213300.0,701,90.0,44.0,64,Own,1,9974.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,259370.0,712,78.59,42.0,57,Own,1,4847.67,UnderGrad
Internet,77,Refinance,Conventional                                      ,261000.0,685,75.0,43.0,52,Own,1,9383.17,UnderGrad
Internet,76,Refinance,Conventional                                      ,374700.0,719,86.93,22.0,63,Own,1,17083.33,PostGrad
Internet,75,Refinance,Conventional                                      ,161000.0,652,64.4,135.0,47,Own,0,2333.0,UnderGrad
Radio,75,Refinance,Conventional                                      ,141550.0,670,95.0,24.0,35,Own,1,9374.45,Higher School
Internet,78,Refinance,Conventional                                      ,198000.0,636,79.35,45.0,49,Own,1,9131.04,UnderGrad
Internet,75,Refinance,Conventional                                      ,324000.0,766,58.37,35.0,58,Own,1,13333.34,UnderGrad
Radio,75,Refinance,Conventional                                      ,195000.0,635,75.0,47.0,40,Own,0,3583.33,UnderGrad
Radio,75,Refinance,Conventional                                      ,175770.0,808,48.82,18.0,51,Own,0,8650.0,Higher School
Internet,76,Refinance,FHA                                               ,192449.0,621,96.5,22.0,30,Rent,1,9753.01,Higher School
Internet,77,Refinance,Conventional                                      ,130000.0,760,77.84,25.0,60,Own,1,14018.62,PHD
Radio,77,Refinance,Conventional                                      ,170000.0,801,64.15,41.0,57,Own,0,12864.32,PostGrad
Internet,76,Refinance,Conventional                                      ,266315.0,820,73.97,18.0,42,Own,1,11250.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,393750.0,715,77.5,47.0,62,Own,1,11926.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,165000.0,720,65.73,41.0,48,Own,1,12225.0,PostGrad
Radio,76,Refinance,Conventional                                      ,216000.0,695,79.7,39.0,30,Own,1,12275.92,UnderGrad
Radio,75,Refinance,Conventional                                      ,168000.0,814,57.93,34.0,65,Own,1,4091.29,UnderGrad
Internet,77,Refinance,Conventional                                      ,245000.0,709,70.0,36.0,51,Own,0,15000.0,UnderGrad
Other,77,Refinance,Conventional                                      ,358200.0,760,69.62,19.0,34,Own,1,15167.37,PostGrad
Repeat Client,75,Refinance,Conventional                                      ,100000.0,653,74.07,41.0,55,Own,1,5366.0,UnderGrad
TV,76,Refinance,Conventional                                      ,376175.0,711,72.34,44.0,50,Own,1,16449.33,Higher School
Internet,Other,Refinance,Conventional                                      ,343000.0,800,59.65,18.0,78,Own,0,13000.0,Higher School
Internet,75,Refinance,Conventional                                      ,244000.0,691,44.77,37.0,64,Own,1,7985.92,PHD
Internet,77,Refinance,Conventional                                      ,382563.0,762,69.24,35.0,35,Own,1,14411.18,UnderGrad
Internet,76,Refinance,FHA                                               ,243508.0,776,96.5,45.0,37,Own,1,4932.0,PostGrad
Other,76,Refinance,Conventional                                      ,179000.0,776,75.21,45.0,74,Own,1,3744.0,UnderGrad
Radio,76,Refinance,Conventional                                      ,332050.0,753,73.78,48.0,50,Own,1,6353.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,395000.0,746,69.91,34.0,42,Own,1,11539.25,UnderGrad
Radio,75,Refinance,Conventional                                      ,288750.0,739,75.0,37.0,51,Own,1,15017.24,PHD
Internet,75,Refinance,Conventional                                      ,226400.0,742,72.1,26.0,34,Own,1,9309.65,UnderGrad
Internet,78,Refinance,Conventional                                      ,136500.0,641,65.0,35.0,51,Own,0,9183.82,UnderGrad
Other,75,Refinance,VA                                                ,322000.0,778,97.57,,37,Own,1,0.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,276496.0,783,61.44,23.0,43,Own,0,10866.0,UnderGrad
Internet,78,Refinance,Conventional                                      ,452872.0,789,74.24,43.0,42,Own,1,10876.0,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,152000.0,802,80.0,27.0,59,Own,1,13481.14,UnderGrad
Radio,76,Refinance,VA                                                ,269676.0,611,100.0,34.0,43,Rent,1,8481.09,Higher School
Internet,77,Refinance,Conventional                                      ,172000.0,777,68.8,28.0,35,Own,0,7000.0,UnderGrad
Internet,77,Refinance,Conventional                                      ,114000.0,670,67.05,21.0,43,Own,0,6250.0,Higher School
TV,78,Refinance,Conventional                                      ,170000.0,695,71.42,40.0,51,Own,1,7583.33,UnderGrad
Internet,75,Refinance,Conventional                                      ,311920.0,745,80.0,30.0,27,Rent,1,7083.33,PHD
TV,76,Refinance,Conventional                                      ,183200.0,740,80.0,30.0,62,Own,1,9625.0,Higher School
Internet,76,Refinance,Conventional                                      ,195130.0,693,79.0,62.0,66,Own,1,4271.71,UnderGrad
TV,76,Refinance,Conventional                                      ,196000.0,744,80.0,41.0,67,Own,1,8721.28,UnderGrad
Internet,75,Refinance,FHA                                               ,165428.0,628,81.29,43.0,34,Own,1,4385.33,Higher School
Radio,77,Refinance,Conventional                                      ,173000.0,738,72.08,27.0,30,Own,0,8000.0,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,281100.0,783,93.7,37.0,58,Own,1,12500.0,UnderGrad
Internet,76,Refinance,Conventional                                      ,510000.0,817,86.14,23.0,61,Own,1,16976.47,UnderGrad
Radio,76,Refinance,Conventional                                      ,168000.0,641,80.0,47.0,60,Own,0,5993.87,UnderGrad
Internet,76,Refinance,Conventional                                      ,284000.0,762,56.8,34.0,31,Own,0,10900.0,UnderGrad
TV,75,Refinance,Conventional                                      ,304000.0,772,69.88,37.0,47,Own,1,14031.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,212000.0,790,80.0,15.0,54,Own,1,10861.09,UnderGrad
Other,75,Refinance,Conventional                                      ,279200.0,779,80.0,30.0,38,Own,1,7279.92,UnderGrad
Internet,77,Refinance,Conventional                                      ,400000.0,808,72.99,25.0,36,Own,0,14583.33,PostGrad
Other,76,Refinance,Conventional                                      ,177970.0,699,76.38,33.0,49,Own,1,9498.33,UnderGrad
Radio,75,Refinance,Conventional                                      ,131250.0,682,70.56,42.0,56,Own,1,5585.0,UnderGrad
Radio,78,Refinance,Conventional                                      ,248261.0,798,63.65,59.0,55,Own,0,9645.33,UnderGrad
Internet,75,Refinance,Conventional                                      ,316800.0,760,80.0,39.0,57,Own,1,11117.17,UnderGrad
Internet,76,Refinance,Conventional                                      ,89580.0,658,59.72,29.0,50,Own,0,8416.0,Higher School
Internet,75,Refinance,Conventional                                      ,170000.0,784,58.62,43.0,59,Own,1,8054.02,UnderGrad
Other,75,Refinance,Conventional                                      ,105000.0,782,26.58,14.0,59,Own,1,13400.4,PostGrad
Internet,78,Refinance,FHA                                               ,377044.0,657,96.5,41.0,49,Own,0,12133.33,UnderGrad
Repeat Client,76,Refinance,Conventional                                      ,164250.0,765,75.0,47.0,34,Own,1,9968.04,UnderGrad
Internet,76,Refinance,Conventional                                      ,105500.0,774,58.61,24.0,58,Own,0,4916.75,Higher School
Internet,75,Refinance,FHA                                               ,166098.0,656,97.74,33.0,36,Own,1,5733.76,Higher School
Other,75,Refinance,Conventional                                      ,223100.0,791,96.99,35.0,32,Rent,0,6401.86,PostGrad
Internet,78,Refinance,Conventional                                      ,200000.0,702,59.17,42.0,44,Own,1,5652.02,Higher School
Internet,75,Refinance,Conventional                                      ,175000.0,803,41.17,27.0,53,Own,0,15000.0,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,293103.0,756,90.18,48.0,46,Own,1,6179.96,UnderGrad
Internet,78,Refinance,Conventional                                      ,499515.0,786,67.32,21.0,45,Own,1,23123.35,Higher School
Radio,75,Refinance,Conventional                                      ,235474.0,796,59.61,29.0,35,Own,0,7416.66,Higher School
Other,76,Refinance,Conventional                                      ,155000.0,707,71.75,35.0,61,Own,1,5867.33,Higher School
Internet,76,Refinance,Conventional                                      ,277500.0,674,75.0,46.0,58,Rent,1,5100.01,UnderGrad
Internet,76,Refinance,VA                                                ,288008.0,806,100.0,46.0,47,Own,1,4333.33,UnderGrad
TV,77,Refinance,FHA                                               ,162011.0,674,96.5,23.0,44,Rent,1,4757.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,120000.0,764,63.15,35.0,36,Own,1,4333.33,UnderGrad
Internet,76,Refinance,Conventional                                      ,168000.0,757,80.0,46.0,71,Own,0,3850.0,UnderGrad
Internet,75,Refinance,Conventional                                      ,482000.0,792,72.48,18.0,54,Own,0,19719.58,PostGrad
Internet,75,Refinance,FHA                                               ,302619.0,623,85.0,43.0,57,Rent,1,7776.46,UnderGrad
Repeat Client,75,Refinance,Conventional                                      ,192000.0,785,80.0,28.0,36,Own,1,7085.42,UnderGrad
TV,78,Refinance,Conventional                                      ,244257.0,677,79.56,24.0,47,Own,0,10427.58,PostGrad
Radio,76,Refinance,Conventional                                      ,130000.0,772,69.89,42.0,41,Own,1,3705.0,Higher School
Internet,75,Refinance,Conventional                                      ,212028.0,755,70.67,41.0,38,Own,1,9720.54,UnderGrad
Repeat Client,76,Refinance,VA                                                ,422702.0,776,101.34,,60,Own,1,0.0,PostGrad
Internet,77,Refinance,Conventional                                      ,182320.0,637,80.0,42.0,53,Own,1,8007.0,UnderGrad
Radio,75,Refinance,Conventional                                      ,172800.0,677,80.0,40.0,36,Own,1,5149.0,Higher School
Internet,75,Refinance,Conventional                                      ,150000.0,656,69.76,41.0,49,Own,1,6670.17,UnderGrad
Internet,75,Refinance,Conventional                                      ,349600.0,755,95.0,38.0,29,Rent,1,4721.0,PostGrad
Internet,75,Refinance,Conventional                                      ,212000.0,624,80.0,44.0,39,Own,1,6699.33,Higher School
